,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Segmentation
125,1,0,27,1,7,1.0,0,2.0,2
127,0,0,72,0,0,0.0,1,2.0,1
128,1,0,28,0,4,0.0,0,2.0,2
129,0,1,35,0,2,8.0,0,5.0,1
130,0,0,39,0,5,9.0,2,5.0,2
131,1,0,69,0,6,0.0,2,2.0,1
132,0,1,18,1,1,6.0,0,4.0,0
134,1,0,50,0,4,1.0,2,2.0,3
135,0,1,30,1,5,5.0,0,5.0,2
137,1,1,39,0,0,3.0,0,4.0,0
138,1,1,29,1,7,8.0,0,4.0,0
139,1,0,37,0,0,4.0,0,4.0,3
140,1,0,39,0,4,0.0,1,2.0,2
141,1,0,48,0,0,0.0,1,5.0,1
142,1,1,32,0,3,0.0,0,3.0,1
144,1,0,43,1,4,0.0,1,5.0,3
145,0,1,29,1,7,8.0,0,5.0,1
146,1,0,28,1,4,9.0,1,2.0,2
147,0,0,80,0,6,1.0,0,1.0,3
148,1,1,28,0,1,7.0,0,4.0,0
149,0,0,71,0,0,6.0,1,3.0,1
150,0,0,67,1,6,0.0,2,9.0,2
151,1,1,26,1,4,0.0,0,1.0,2
152,1,0,47,0,4,0.0,1,2.0,1
153,1,0,43,0,0,2.0,1,2.0,3
154,1,1,27,0,1,0.0,0,4.0,1
155,1,0,45,0,7,8.0,0,4.0,0
156,0,0,76,1,5,1.0,0,1.0,1
157,1,0,43,0,0,3.0,1,4.0,1
158,1,0,78,0,6,1.0,2,2.0,3
159,0,0,35,0,0,3.0,1,3.0,1
160,1,1,49,0,0,1.0,0,1.0,1
161,1,1,25,0,1,1.0,0,5.0,0
162,0,0,37,1,5,0.0,1,5.0,2
163,1,1,32,1,1,1.0,0,5.0,1
164,0,0,60,0,3,0.0,1,2.0,1
165,1,0,45,0,0,5.0,1,3.0,1
166,1,0,49,0,8,9.0,1,3.0,1
167,0,1,32,0,0,0.0,0,5.0,0
168,1,0,40,0,0,0.0,0,3.0,3
169,0,0,59,1,0,2.0,1,2.0,1
170,0,0,48,0,0,3.0,0,5.0,3
171,0,0,82,0,5,0.0,2,2.0,1
172,1,0,70,0,6,0.0,0,2.0,3
173,0,1,31,0,0,5.0,0,2.0,3
174,1,0,72,0,6,0.0,2,2.0,1
175,0,0,50,0,0,3.0,1,4.0,1
176,1,1,23,1,4,11.0,0,1.0,0
177,1,1,20,1,1,2.0,0,6.0,0
178,1,1,22,1,1,4.0,0,3.0,0
179,1,1,31,0,4,8.0,0,1.0,2
180,1,0,36,0,0,7.0,1,2.0,1
183,0,0,40,0,0,4.0,1,4.0,1
184,1,1,40,0,0,1.0,0,1.0,2
187,1,1,21,1,3,1.0,0,3.0,2
188,1,0,41,1,4,4.0,1,2.0,0
189,0,0,40,0,0,0.0,0,2.0,3
190,0,0,53,0,0,1.0,1,3.0,3
191,1,0,42,0,0,5.0,0,2.0,1
192,0,0,42,1,5,8.0,0,2.0,0
194,0,0,59,0,0,7.0,0,2.0,1
195,0,0,41,0,5,1.0,1,3.0,2
196,1,0,31,0,0,0.0,1,2.0,2
197,1,0,49,0,0,1.0,2,5.0,3
198,0,0,67,0,5,1.0,0,2.0,2
199,0,0,35,1,0,4.0,1,2.0,3
200,1,1,26,0,1,0.0,0,3.0,1
202,1,0,25,1,4,6.0,1,8.0,0
203,1,0,39,0,1,4.0,0,2.0,2
204,0,0,63,0,2,0.0,0,2.0,2
205,0,1,23,1,1,8.0,0,3.0,0
206,1,1,23,1,1,0.0,0,3.0,0
207,1,0,53,0,0,2.0,0,1.0,1
208,0,1,33,0,3,0.0,0,2.0,3
210,1,0,69,0,4,0.0,0,2.0,3
211,0,1,37,0,0,2.0,0,1.0,3
212,1,1,20,1,7,3.0,0,4.0,1
214,1,0,49,0,3,1.0,1,4.0,1
215,0,1,18,1,1,0.0,0,3.0,0
216,1,0,52,0,3,0.0,1,2.0,1
221,0,0,28,0,4,0.0,1,2.0,2
222,1,1,28,0,0,7.0,0,3.0,2
223,0,1,20,1,1,0.0,0,5.0,0
224,1,1,27,1,8,8.0,0,1.0,0
226,0,0,45,0,0,4.0,1,4.0,3
227,0,1,25,0,1,1.0,0,4.0,3
228,0,1,40,1,7,1.0,0,1.0,0
231,1,1,23,1,1,0.0,0,4.0,0
232,1,0,67,0,6,0.0,2,2.0,3
233,0,1,21,1,1,0.0,0,4.0,0
234,1,1,38,0,0,9.0,0,1.0,2
235,0,1,28,1,1,0.0,0,4.0,1
236,1,1,32,1,1,1.0,0,5.0,3
238,1,0,56,1,6,1.0,2,4.0,3
239,1,0,53,0,0,1.0,0,2.0,1
240,0,0,57,1,5,1.0,2,5.0,1
241,1,0,59,0,0,0.0,1,3.0,1
242,1,0,25,0,1,1.0,2,4.0,2
243,0,0,59,0,0,0.0,1,6.0,1
244,1,0,36,0,0,0.0,0,4.0,1
245,0,0,37,0,2,7.0,0,2.0,2
246,0,1,22,1,3,1.0,0,3.0,0
247,0,0,43,0,0,1.0,0,2.0,3
248,0,0,41,0,0,1.0,0,2.0,2
249,1,1,21,1,4,0.0,0,5.0,3
251,0,1,38,0,3,8.0,0,1.0,3
253,0,0,70,0,6,1.0,2,3.0,1
254,1,1,31,1,4,1.0,0,4.0,3
255,1,0,82,1,6,0.0,1,2.0,2
258,0,1,38,0,0,8.0,0,3.0,2
259,0,0,18,1,5,0.0,2,4.0,2
260,0,0,50,0,0,6.0,1,3.0,1
262,1,0,72,1,6,1.0,2,3.0,0
264,1,1,25,1,8,1.0,0,7.0,3
265,1,0,75,1,2,2.0,2,2.0,0
266,0,1,72,0,0,1.0,0,1.0,3
267,1,0,72,0,0,0.0,1,3.0,1
268,0,0,36,0,2,6.0,0,6.0,2
269,0,0,40,0,0,1.0,0,2.0,2
270,1,1,28,0,2,0.0,0,4.0,1
271,1,1,28,0,3,0.0,0,3.0,0
273,0,0,43,0,0,0.0,0,2.0,3
274,1,0,35,0,0,1.0,1,2.0,3
275,0,0,65,0,6,1.0,2,2.0,3
276,0,0,52,0,5,7.0,2,4.0,1
277,1,1,40,0,0,1.0,0,1.0,3
278,1,0,69,1,4,9.0,0,3.0,2
279,1,1,22,1,1,3.0,0,3.0,0
280,0,0,47,0,5,1.0,1,4.0,1
281,0,0,29,0,7,1.0,2,2.0,2
282,0,0,46,0,0,1.0,1,3.0,1
283,0,1,32,0,0,1.0,0,2.0,2
284,1,1,38,0,1,0.0,0,1.0,1
285,0,0,59,0,0,0.0,0,1.0,3
286,1,1,26,0,2,1.0,0,1.0,0
287,0,1,26,0,1,1.0,0,2.0,2
288,0,1,28,1,7,0.0,0,1.0,0
289,1,0,53,0,4,1.0,1,3.0,1
291,0,1,27,1,3,1.0,0,3.0,0
293,0,1,26,1,4,0.0,0,4.0,0
294,1,1,31,1,2,0.0,0,2.0,0
295,0,0,39,0,5,1.0,2,3.0,3
296,1,0,43,1,4,1.0,0,3.0,2
297,0,0,25,1,3,1.0,0,2.0,2
298,0,0,40,0,0,3.0,2,3.0,2
299,1,0,40,0,2,7.0,1,2.0,3
302,0,1,27,0,1,1.0,0,3.0,0
303,1,1,19,1,1,1.0,0,2.0,0
304,1,0,86,0,6,0.0,2,2.0,3
306,1,0,27,0,0,4.0,1,2.0,1
307,1,0,70,1,3,0.0,1,2.0,3
308,1,0,53,1,4,8.0,1,4.0,3
313,0,0,43,1,5,0.0,2,4.0,2
314,0,0,36,1,3,6.0,0,3.0,2
315,0,0,74,0,6,0.0,0,2.0,1
316,1,1,30,1,8,0.0,0,4.0,0
317,1,1,37,0,0,5.0,0,2.0,3
318,1,1,22,1,7,0.0,0,1.0,3
319,0,1,19,1,1,0.0,0,4.0,0
320,0,0,70,0,4,4.0,2,2.0,3
321,0,0,89,0,6,13.0,0,1.0,2
323,0,1,25,0,3,6.0,0,1.0,0
324,1,1,45,0,0,4.0,0,1.0,2
325,1,1,35,0,0,3.0,0,1.0,2
326,1,0,37,1,4,7.0,0,1.0,0
327,1,0,39,1,4,4.0,1,2.0,3
328,1,1,32,0,1,1.0,0,5.0,0
329,1,0,62,0,0,2.0,1,3.0,1
330,1,0,58,0,4,0.0,1,4.0,3
332,0,1,25,1,1,0.0,0,5.0,1
333,1,0,56,0,0,0.0,1,4.0,1
334,1,1,36,0,2,10.0,0,2.0,2
335,1,1,30,1,1,8.0,0,3.0,2
336,0,1,19,1,1,1.0,0,5.0,0
337,0,1,27,0,1,0.0,0,2.0,2
338,1,1,38,0,3,14.0,0,1.0,2
339,0,0,46,0,0,8.0,1,2.0,1
340,0,1,29,0,0,3.0,0,1.0,3
341,0,0,51,1,2,1.0,1,4.0,3
342,0,0,55,1,0,0.0,0,1.0,2
343,1,0,69,0,4,1.0,0,1.0,2
344,1,1,26,1,1,1.0,0,8.0,1
345,1,0,83,0,6,0.0,0,3.0,2
346,1,1,39,0,1,9.0,0,1.0,0
347,0,0,35,0,0,9.0,0,1.0,2
348,0,0,19,1,7,2.0,2,5.0,1
353,1,1,29,1,1,1.0,0,3.0,3
354,1,1,26,1,3,0.0,0,1.0,0
355,0,1,36,0,4,8.0,0,1.0,2
356,1,1,22,1,8,0.0,0,4.0,0
357,0,1,19,1,7,0.0,0,5.0,2
358,1,0,20,0,6,1.0,1,3.0,2
359,0,1,43,0,1,3.0,0,3.0,0
361,0,1,43,0,2,1.0,0,2.0,2
362,1,0,50,0,4,4.0,2,3.0,3
363,0,1,25,0,2,1.0,0,2.0,2
364,0,0,61,1,0,1.0,2,2.0,3
365,1,0,28,0,1,0.0,1,2.0,2
366,0,1,38,0,0,1.0,0,1.0,0
367,0,1,25,1,5,12.0,0,3.0,2
368,1,1,18,1,1,9.0,0,5.0,0
369,0,0,43,0,2,1.0,1,5.0,1
370,1,1,27,0,0,8.0,0,1.0,3
371,1,1,60,0,2,1.0,0,2.0,0
372,0,0,75,0,6,2.0,0,1.0,0
374,0,1,23,1,3,6.0,0,4.0,0
375,0,1,36,0,0,8.0,0,1.0,2
376,0,1,30,1,3,1.0,0,1.0,1
377,0,0,56,1,0,1.0,1,2.0,1
378,1,0,52,0,0,2.0,0,2.0,1
379,0,0,39,0,2,0.0,0,1.0,0
380,1,1,35,1,0,5.0,0,1.0,2
381,0,0,33,1,4,0.0,1,2.0,3
382,1,1,25,0,0,0.0,0,6.0,2
383,1,0,27,0,0,0.0,1,2.0,3
384,0,0,35,0,0,1.0,2,3.0,2
385,1,0,41,0,0,1.0,1,2.0,1
387,1,0,46,1,0,8.0,1,2.0,3
390,1,1,26,0,0,9.0,0,1.0,2
391,0,0,43,0,3,13.0,2,2.0,3
392,1,0,30,0,0,8.0,0,4.0,2
393,1,0,70,0,0,1.0,1,4.0,1
395,1,0,89,1,6,3.0,2,1.0,0
396,1,0,42,1,8,6.0,2,4.0,3
397,1,0,37,0,2,6.0,1,3.0,2
398,0,0,29,1,5,1.0,1,3.0,0
399,1,0,68,0,0,1.0,2,2.0,1
400,1,1,25,1,4,1.0,0,1.0,0
402,1,0,48,0,3,0.0,0,2.0,1
403,1,0,51,0,3,1.0,1,3.0,1
404,1,0,40,0,4,1.0,2,5.0,3
405,0,0,47,0,0,0.0,1,6.0,3
407,0,0,35,0,5,1.0,1,4.0,1
408,1,1,19,1,1,2.0,0,3.0,0
410,0,0,46,0,2,0.0,1,3.0,3
411,0,0,86,0,6,0.0,0,1.0,3
412,0,0,66,0,0,0.0,2,2.0,3
413,0,1,42,1,7,1.0,0,5.0,0
414,1,0,73,0,6,1.0,2,2.0,3
415,0,0,72,1,4,1.0,0,1.0,2
416,0,0,53,0,0,0.0,0,3.0,3
417,1,0,39,0,0,8.0,1,2.0,1
418,1,1,27,1,8,9.0,0,1.0,0
420,1,1,23,1,1,1.0,0,3.0,0
421,1,1,30,0,2,0.0,0,4.0,3
422,1,0,39,0,0,5.0,1,2.0,1
423,0,0,26,0,0,1.0,1,3.0,3
424,1,0,50,0,2,7.0,0,3.0,2
425,1,0,45,0,0,1.0,1,2.0,1
426,1,1,62,1,2,2.0,0,1.0,2
427,1,1,27,0,3,1.0,0,3.0,2
429,1,0,30,1,4,1.0,1,7.0,2
430,0,1,32,1,1,7.0,0,4.0,2
432,0,1,47,1,0,3.0,0,3.0,3
433,1,1,32,0,0,4.0,0,4.0,2
434,1,0,32,1,4,5.0,0,3.0,2
435,0,0,67,0,3,1.0,1,4.0,3
436,1,0,77,0,6,0.0,2,2.0,1
438,0,1,31,1,2,1.0,0,1.0,2
439,0,0,42,0,0,0.0,0,3.0,2
441,0,0,50,0,0,1.0,1,4.0,1
442,0,0,71,0,0,0.0,1,5.0,1
443,1,0,72,1,6,1.0,0,3.0,2
445,0,0,45,0,0,9.0,1,2.0,1
446,1,1,40,1,4,9.0,0,5.0,2
447,1,1,36,0,4,4.0,0,1.0,2
449,0,1,30,1,1,4.0,0,4.0,0
450,1,1,29,0,1,2.0,0,4.0,3
451,0,1,28,0,4,0.0,0,5.0,0
454,1,0,40,0,0,1.0,1,2.0,1
455,1,0,52,0,0,14.0,1,2.0,1
457,0,1,26,1,0,6.0,0,6.0,0
458,1,1,55,0,7,3.0,0,1.0,3
459,1,1,20,1,3,4.0,0,4.0,0
460,1,0,87,0,6,0.0,2,2.0,1
461,0,1,28,1,1,0.0,0,2.0,2
462,0,1,38,1,0,2.0,0,2.0,2
463,0,0,42,1,2,1.0,0,2.0,3
464,0,0,42,1,7,0.0,2,6.0,2
465,1,1,29,1,4,1.0,0,4.0,0
466,0,1,32,0,3,0.0,0,4.0,2
468,1,0,59,1,0,1.0,2,2.0,1
469,0,1,22,1,1,0.0,0,2.0,0
471,1,0,78,0,0,1.0,2,2.0,1
472,1,1,32,0,1,0.0,0,3.0,2
473,0,0,37,0,0,0.0,1,4.0,1
474,0,0,37,0,1,1.0,2,4.0,3
476,0,0,47,1,0,0.0,2,4.0,3
477,1,0,68,0,6,0.0,2,2.0,2
478,0,1,30,0,1,3.0,0,5.0,1
479,1,0,48,0,2,2.0,0,1.0,2
480,1,1,43,0,0,6.0,0,1.0,1
481,0,0,33,0,1,9.0,0,2.0,0
482,0,0,31,1,1,0.0,1,5.0,0
483,0,0,32,0,1,1.0,0,2.0,0
484,1,1,21,1,1,1.0,0,4.0,0
485,1,1,29,1,8,2.0,0,4.0,0
486,1,0,35,0,0,1.0,0,2.0,2
487,0,0,46,1,0,0.0,0,3.0,2
488,1,0,38,0,0,9.0,2,2.0,3
489,1,1,32,0,1,1.0,0,3.0,1
490,1,1,28,0,0,3.0,0,7.0,2
491,1,0,68,0,6,3.0,0,1.0,2
492,1,0,45,0,0,4.0,0,1.0,1
493,0,0,58,0,0,0.0,1,3.0,1
494,0,1,28,1,2,1.0,0,2.0,2
495,1,1,32,1,1,12.0,0,3.0,2
496,0,1,30,0,3,1.0,0,1.0,3
497,1,0,42,1,8,3.0,1,4.0,0
500,1,1,18,1,1,6.0,0,4.0,0
501,1,0,29,0,1,8.0,0,3.0,0
502,1,1,33,0,1,0.0,0,3.0,2
504,1,0,57,0,3,1.0,0,2.0,2
505,0,0,36,0,5,1.0,0,3.0,0
506,0,0,57,0,5,1.0,2,3.0,1
507,0,1,18,1,1,1.0,0,2.0,0
509,0,0,52,0,0,1.0,1,6.0,1
511,1,0,37,0,2,0.0,1,2.0,3
512,0,1,36,0,7,0.0,0,1.0,2
513,1,1,29,0,1,9.0,0,3.0,2
514,0,0,45,0,0,1.0,1,4.0,1
515,0,1,61,0,0,0.0,0,1.0,3
516,0,0,52,0,2,1.0,1,4.0,2
517,1,0,49,0,8,14.0,0,1.0,2
519,1,1,31,1,1,1.0,0,5.0,1
520,0,0,42,1,2,1.0,0,3.0,2
521,0,0,51,0,4,1.0,1,5.0,1
522,1,1,42,0,1,8.0,0,1.0,0
523,0,1,29,0,3,1.0,0,4.0,1
524,1,1,33,0,1,8.0,0,1.0,2
526,1,1,21,1,1,0.0,0,4.0,0
527,0,0,35,1,0,9.0,1,3.0,3
528,1,1,42,0,3,0.0,0,1.0,2
529,1,1,41,0,0,2.0,0,1.0,1
530,0,1,39,0,0,0.0,0,3.0,3
531,1,1,28,1,3,14.0,0,1.0,2
533,1,0,61,0,3,1.0,1,2.0,3
534,0,0,62,0,0,0.0,1,4.0,1
535,0,0,65,0,2,1.0,1,2.0,1
536,0,0,45,0,3,1.0,1,2.0,2
537,1,0,26,0,4,9.0,0,2.0,3
538,1,1,25,0,0,4.0,0,5.0,1
539,1,0,45,0,0,1.0,1,4.0,1
540,0,0,43,1,5,0.0,2,4.0,3
541,0,0,49,0,5,1.0,2,3.0,1
542,0,0,55,0,0,1.0,1,2.0,1
543,1,1,37,0,0,3.0,0,1.0,3
544,0,0,65,0,2,1.0,2,2.0,1
546,1,1,39,1,4,0.0,0,3.0,2
547,1,0,40,0,0,2.0,1,2.0,1
548,0,0,72,0,2,1.0,1,3.0,1
549,1,1,38,1,8,5.0,0,1.0,3
550,0,1,26,1,7,0.0,0,5.0,0
551,0,1,30,0,3,1.0,0,3.0,0
553,0,1,57,0,7,1.0,0,4.0,2
554,1,1,31,0,1,1.0,0,1.0,0
555,0,1,39,0,0,0.0,0,1.0,2
556,1,1,30,1,4,0.0,0,4.0,2
557,1,0,43,1,0,0.0,1,3.0,2
558,0,1,27,0,1,8.0,0,1.0,1
559,1,0,46,1,0,0.0,1,4.0,1
560,0,0,43,1,0,1.0,0,2.0,3
562,0,0,28,1,2,8.0,1,4.0,0
563,0,1,43,0,2,9.0,0,1.0,0
565,1,1,28,0,1,1.0,0,3.0,0
567,1,1,30,1,4,0.0,0,1.0,3
568,0,1,58,1,1,4.0,0,2.0,0
569,1,1,38,0,4,8.0,0,4.0,2
570,1,1,31,0,0,1.0,0,4.0,0
571,0,0,32,1,5,4.0,1,5.0,0
572,0,0,45,0,0,4.0,1,4.0,1
573,0,0,66,0,0,1.0,0,3.0,2
574,1,0,51,0,0,1.0,1,3.0,1
577,0,0,46,0,0,11.0,1,5.0,1
578,0,1,20,1,1,1.0,0,6.0,0
579,1,0,84,1,6,1.0,2,2.0,1
582,0,0,57,0,2,8.0,1,5.0,2
583,1,1,33,1,3,0.0,0,1.0,2
584,0,1,25,1,7,3.0,0,3.0,0
587,0,0,77,0,6,1.0,0,1.0,1
588,0,0,30,0,1,1.0,0,2.0,2
589,0,1,23,1,1,6.0,0,5.0,0
590,1,1,43,0,0,2.0,0,4.0,3
591,0,1,39,0,2,5.0,0,1.0,2
592,0,0,29,1,5,1.0,2,2.0,0
594,1,0,45,1,4,2.0,0,2.0,0
595,0,0,48,1,5,2.0,2,2.0,0
596,0,0,27,1,2,0.0,1,4.0,2
597,1,0,60,1,2,9.0,0,4.0,3
598,0,0,45,0,2,4.0,1,3.0,3
600,0,1,33,1,3,1.0,0,4.0,1
606,0,0,51,0,0,8.0,0,5.0,2
607,0,0,67,1,5,2.0,2,1.0,1
608,0,0,38,0,0,9.0,1,2.0,1
609,1,1,40,0,3,0.0,0,1.0,1
610,1,0,45,0,0,5.0,1,2.0,3
611,0,0,48,0,0,0.0,1,4.0,1
612,1,0,69,1,6,0.0,1,2.0,1
613,0,1,21,1,1,9.0,0,5.0,0
616,0,0,72,0,0,0.0,0,3.0,1
618,1,1,21,1,7,1.0,0,5.0,0
619,1,0,48,0,0,1.0,0,1.0,2
621,0,1,28,1,1,1.0,0,5.0,0
622,0,0,55,0,2,1.0,0,2.0,2
623,1,1,56,0,0,0.0,0,2.0,1
624,0,0,50,0,3,1.0,0,2.0,1
625,0,1,21,1,1,1.0,0,4.0,0
626,0,1,18,1,1,0.0,0,6.0,0
627,0,0,68,0,6,0.0,2,2.0,3
628,0,0,47,0,0,13.0,0,1.0,1
629,0,0,75,1,6,1.0,2,2.0,3
630,0,0,50,0,0,3.0,1,4.0,1
631,0,1,31,0,1,0.0,0,4.0,0
632,1,1,30,0,0,0.0,0,3.0,2
633,1,0,41,0,0,0.0,0,4.0,2
635,1,0,35,1,1,2.0,0,1.0,2
636,0,0,37,0,1,0.0,0,1.0,0
638,0,0,50,0,3,0.0,1,3.0,1
639,0,0,36,0,0,0.0,1,2.0,1
640,1,1,26,1,7,3.0,0,3.0,2
642,0,1,22,1,1,0.0,0,4.0,0
643,1,1,19,1,1,0.0,0,3.0,0
644,1,0,45,0,0,0.0,1,5.0,1
645,1,1,31,1,3,0.0,0,4.0,0
646,0,0,56,0,0,0.0,1,3.0,1
648,1,1,25,0,1,1.0,0,3.0,3
649,1,0,73,0,6,1.0,0,1.0,3
650,0,0,62,0,3,1.0,1,4.0,1
651,0,0,46,1,2,0.0,1,3.0,2
653,0,0,25,0,5,1.0,2,2.0,2
655,0,1,27,0,7,1.0,0,2.0,2
656,0,0,87,1,5,1.0,0,2.0,2
657,1,0,47,0,0,0.0,0,1.0,2
658,0,0,57,0,0,1.0,1,4.0,1
659,0,0,60,0,0,0.0,1,4.0,2
662,0,1,28,0,1,2.0,0,3.0,0
663,0,1,39,0,3,4.0,0,3.0,1
664,1,1,47,0,7,9.0,0,1.0,0
667,0,0,69,0,0,0.0,1,3.0,2
668,1,1,42,0,0,0.0,0,1.0,0
669,1,0,46,0,4,1.0,0,1.0,0
670,1,1,23,1,7,3.0,0,3.0,1
671,0,1,45,0,0,1.0,0,5.0,1
672,1,0,38,0,3,1.0,1,4.0,3
673,1,0,71,1,6,1.0,2,3.0,0
674,1,1,26,1,3,0.0,0,2.0,0
675,1,0,60,0,0,8.0,2,2.0,1
676,1,0,46,0,0,1.0,1,2.0,1
677,0,0,39,0,2,1.0,1,4.0,1
678,1,1,18,1,1,1.0,0,3.0,0
679,0,0,26,0,3,1.0,1,2.0,2
680,0,0,53,0,0,1.0,2,2.0,0
681,0,0,40,0,2,1.0,1,2.0,1
683,0,0,26,0,2,0.0,1,3.0,2
684,1,0,65,0,0,0.0,1,2.0,1
685,1,1,37,0,0,12.0,0,2.0,2
686,0,1,25,1,1,0.0,0,4.0,1
687,1,1,21,1,4,0.0,0,5.0,0
688,1,1,25,1,1,0.0,0,4.0,0
689,0,1,23,1,1,4.0,0,5.0,0
690,1,1,30,0,1,1.0,0,6.0,0
691,1,1,30,1,3,0.0,0,4.0,0
692,0,0,42,1,2,0.0,1,4.0,2
694,0,0,49,0,2,1.0,1,5.0,1
695,0,1,32,1,1,0.0,0,3.0,2
697,0,0,26,1,5,9.0,2,4.0,0
698,1,1,67,1,0,1.0,0,2.0,3
699,0,0,88,1,5,0.0,0,1.0,2
700,1,1,40,0,1,8.0,0,4.0,0
702,0,1,18,1,1,7.0,0,3.0,0
704,0,0,61,0,2,7.0,2,5.0,3
706,1,0,25,1,4,0.0,1,2.0,2
